Team,Year,GP,OFFRTG,W,Min,PACE,Passes Made,passes_made_100,Ast,Ast p100,Secondary Ast,secondary_ast_100,Potential Ast,potential_ast_100,Ast Adj,Ast Adj p100,Ast to Pass %,Ast to Pass % Adj,Pts,Touches,touches_100,ToP,Avg Sec/Touch,avg_dribbles_touch_100,Dribbles,dribbles_100,Pts/Touch,Post Ups,post_ups_100,Pts/Post Touch,Drives,drives_100,FGA Drives,FTA Drives,PTS Drives,PASS Drives,PASS Drives p100,drives_pass_rate,AST,AST%,DIST. FEET,DIST. MILES,dist_miles_off,DIST. MILES OFF p100,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,play_style_clusters
Atlanta Hawks,2017-18,69,103.2,20,240.4,100.39,332,330.7,23.8,23.7,2.6,2.6,46,45.8,27.1,27,7.2,8.2,103.9,452.6,450.8,20.8,2.76,1.91,864.466,861.1,0.23,2.1,2.1,0.49,47.1,46.9,20.4,6.3,23.1,14.1,14,29.8,4.5,9.5,92569.6,17.53,9.48,9.4,8.05,4.4,4.75,4.06,Moderate
Boston Celtics,2017-18,68,105.7,46,241.9,98.33,302.1,307.2,22.6,23,3.1,3.2,42.9,43.6,26.5,27,7.5,8.8,104.6,420.1,427.2,21.1,3.02,2.21,928.421,944.2,0.249,12.5,12.7,0.497,38.2,38.8,17.6,5.4,21.2,11.1,11.3,29,3.4,9,90122.3,17.07,9.09,9.2,7.97,4.25,4.51,3.98,Isolation
Brooklyn Nets,2017-18,68,103.5,21,242.3,101.02,326.6,323.3,23.2,23,2.6,2.6,47.4,46.9,26.8,26.5,7.1,8.2,106.2,448.4,443.9,21.3,2.85,2.01,901.284,892.2,0.237,7.2,7.1,0.513,49.6,49.1,20,6.6,23.9,16.6,16.4,33.5,5.1,10.4,91833.9,17.39,9.56,9.5,7.83,4.33,4.67,3.97,Moderate
Charlotte Hornets,2017-18,69,106.2,30,241.1,100.46,284.8,283.5,21.5,21.4,3.1,3.1,42.2,42,25.8,25.7,7.6,9.1,107.3,405.3,403.4,20.9,3.09,2.35,952.455,948.1,0.265,13.3,13.2,0.56,37.1,36.9,18.4,6.1,22.3,10,10,26.8,3.1,8.5,92179.8,17.46,9.51,9.5,7.95,4.36,4.68,4.03,Isolation
Chicago Bulls,2017-18,68,101.9,24,242.6,100.19,299.6,299,23.5,23.5,2.6,2.6,46,45.9,27,26.9,7.8,9,103.6,419.6,418.8,19.9,2.85,2.13,893.748,892.1,0.247,11.3,11.3,0.514,41.5,41.4,17.8,4.9,19.1,13.6,13.6,32.7,4.1,9.9,94842.4,17.96,9.56,9.5,8.4,4.47,4.89,4.06,Moderate
Cleveland Cavaliers,2017-18,68,109.9,39,240.7,100.15,275.6,275.2,23.5,23.5,3.1,3.1,44.6,44.5,27.6,27.6,8.5,10,110.2,394.9,394.3,20.4,3.09,2.2,868.78,867.5,0.279,11.8,11.8,0.492,33.4,33.3,15,5.6,20.2,9.3,9.3,27.8,2.9,8.8,89104.2,16.88,8.83,8.8,8.05,4.22,4.46,3.99,Moderate
Dallas Mavericks,2017-18,68,104.4,22,241.1,97.51,304.7,312.5,22.6,23.2,3.2,3.3,43.1,44.2,26.6,27.3,7.4,8.7,102.4,421.4,432.2,21.9,3.12,2.43,1024.002,1050.2,0.243,11.3,11.6,0.487,41.9,43,18.1,4.6,19.9,12.7,13,30.4,4.6,11.1,90653.8,17.17,9.47,9.7,7.7,4.29,4.58,3.98,Isolation
Denver Nuggets,2017-18,69,109.1,38,241.1,99.36,299.8,301.7,24.8,25,3,3,43.5,43.8,28.3,28.5,8.3,9.4,108.9,419.4,422.1,20.6,2.95,2.12,889.128,894.9,0.26,13.4,13.5,0.474,42.2,42.5,19.5,5.5,23.2,12.7,12.8,30.1,3.5,8.2,88707,16.8,9.1,9.2,7.7,4.26,4.6,3.92,Moderate
Detroit Pistons,2017-18,68,104,30,241.1,98.44,304.3,309.1,22.6,23,2.8,2.8,44.4,45.1,26,26.4,7.4,8.5,102.9,424.4,431.1,20.8,2.94,2.19,929.436,944.2,0.242,7.9,8,0.54,44.7,45.4,19.8,5.6,21.5,14.3,14.5,32.1,4,8.8,93599.6,17.73,9.58,9.7,8.14,4.43,4.78,4.09,Moderate
Golden State Warriors,2017-18,68,113.7,52,240.7,102.47,319.8,312.1,30.1,29.4,4.8,4.7,51.6,50.4,36.2,35.3,9.4,11.3,115.7,440.9,430.3,19.3,2.63,1.79,789.211,770.2,0.262,16.9,16.5,0.356,23.5,22.9,10,3.9,13.5,7,6.8,29.6,2.3,9.7,90049.3,17.05,8.91,8.7,8.14,4.29,4.72,3.89,Ball Movement
